name,latitude,longitude,elevation
MOUL CREEK CLEARWATER,51.87,-120.02,713.2
MT LOLO ADMIN KAMLOOPS,50.78,-120.18,872.9
MT LOLO KAMLOOPS,50.8,-120.13,1737.4
100 MILE HOUSE,51.65,-121.3,1059.2
100 MILE HOUSE 6NE,51.68,-121.22,928
PRITCHARD,50.68,-119.82,381
RED LAKE,50.94,-120.8,1162
RED LAKE 2,50.9,-120.77,990
RICHLAND,50.22,-118.5,716.3
RUTH LAKE,51.84,-120.98,795
SALMON ARM,50.7,-119.25,506
SALMON ARM 2,50.7,-119.28,396.2
SALMON ARM 3,50.68,-119.35,363
PINANTAN LAKE,50.72,-119.95,960
SALMON ARM A,50.69,-119.23,527.3
SAMATOSUM MOUNTAIN MINE,51.17,-119.82,1145
SCOTCH CREEK,50.92,-119.46,354
70 MILE HOUSE,51.3,-121.4,1079.9
SEYMOUR ARM,51.25,-118.95,351.1
SEYMOUR ARM NINE MILE LIGHT,51.07,-119.03,351
SHUSWAP FALLS,50.3,-118.82,426.7
SICAMOUS,50.8,-119,426.7
SICAMOUS 2,50.85,-118.98,355
SILVER CREEK,50.55,-119.35,419
SORRENTO,50.88,-119.48,390.1
SORRENTO EAST,50.88,-119.4,487.7
SPENCES BRIDGE,50.42,-121.5,231.6
SPENCES BRIDGE NICOLA,50.42,-121.31,235
SUGAR LAKE,50.33,-118.53,609.6
TAPPEN,50.75,-119.33,442
TAPPEN FORD ROAD,50.8,-119.3,566.9
TAPPEN NORTH,50.8,-119.3,487.7
TAPPEN TULARI FARM,50.67,-119.3,381
SUN PEAKS MOUNTAIN,50.9,-119.91,1847.42
TRANQUILLE,50.72,-120.52,359.7
TURTLE VALLEY,50.84,-119.56,638
VAVENBY,51.58,-119.78,445
VENABLES VLY BHUMI FARM,50.6,-121.38,756
VINSULLA,50.93,-120.25,356.6
WATCH LAKE EAST,51.47,-121.07,1080
WATCH LAKE NORTH,51.47,-121.12,1069
WESTWOLD,50.47,-119.75,609
THIMBLE RANCH,50.23,-118.58,424.9
CLEARWATER CANDLE CRK,51.68,-120,701
KAMLOOPS PRATT ROAD,50.63,-120.17,729
GREEN LAKE,51.42,-121.23,1070
HORSE LAKE LONE BUTE,51.57,-121.15,1070
KAMLOOPS DALLAS,50.67,-120.17,346
SALMON ARM CS,50.7,-119.29,350.5
VIDETTE LAKE SHARPE LAKE,51.33,-120.84,1083
CLEARWATER SPAHATS CREEK,51.73,-120,869
KAMLOOPS RAYLEIGH,50.82,-120.29,357
KAMLOOPS RIDGEVIEW TERRACE,50.7,-120.38,342
108 MILE HOUSE WATSON LAKE,51.7,-121.33,890
MONTE LAKE PAXTON VALLEY,50.53,-119.8,844.9
MONTE CREEK,50.65,-119.95,351
MONTE CREEK WEST,50.65,-120.02,363
SUN PEAKS LOWER,50.89,-119.88,1310.57
WALHACHIN,50.77,-120.97,450
SUN PEAKS UPPER,50.9,-119.92,2055
ALBREDA,52.67,-119.2,873.3
BOBBIE BURNS,50.95,-116.93,1370
BRISCO,50.82,-116.26,823
BUGABOO CREEK LODGE,50.75,-116.71,1529
CANOE RIVER,52.73,-119.38,953.1
CARIBOO LODGE,52.72,-119.47,1095.8
DONALD,51.48,-117.15,783.3
DOWNIE CREEK,51.15,-117.83,754.4
DOWNIE SLIDE BCHPA,51.5,-118.52,975.4
FIELD,51.38,-116.48,1238.7
FLAT CREEK,51.23,-117.62,944.9
GLACIER,51.23,-117.48,1247.9
GLACIER AVALANCHE RS,51.27,-117.5,1176.5
GLACIER NP ROGERS PASS,51.3,-117.52,1330
GOLDEN A,51.3,-116.98,784.9
GOLDEN A,51.3,-116.98,784.9
GOLDEN A,51.3,-116.98,784.9
GOLDEN AIRPORT,51.3,-116.98,785
GOLDSTREAM RIVER,51.63,-118.42,700.1
GOLDSTREAM RIVER STITT CREEK,51.63,-118.17,963
GOLDSTREAM RIVER BREWSTER CREEK,51.64,-118.49,710
MICA DAM,52.05,-118.59,579.1
PARSON COLUMBIA MINES,50.95,-116.98,1722.1
REVELSTOKE A,50.97,-118.18,444.7
REVELSTOKE A,50.96,-118.18,444.7
REVELSTOKE,51,-118.2,456.3
REVELSTOKE AIRPORT RD,50.95,-118.17,450
REVELSTOKE MT COPELAND,51.2,-118.38,1847.1
REVELSTOKE COLUMBIA PARK,51.01,-118.22,446
REVELSTOKE AIRPORT AUTO,50.96,-118.18,444.7
ROGERS PASS,51.3,-117.52,1316.7
REVELSTOKE CARNES CREEK,51.28,-118.13,960
SIDMOUTH,50.78,-118.02,429.8
SPILLIMACHEEN,50.92,-116.4,818.4
STONEY CREEK,51.35,-117.47,1097.3
VALEMOUNT,52.82,-119.25,797.1
VALEMOUNT EAST,52.83,-119.25,808
WILDCAT CR. MISTAYA LODGE,51.7,-116.64,2057
VALEMOUNT NORTH,52.85,-119.25,891.5
YOHO NAT PARK FIELD,51.35,-116.5,1243
YOHO NAT PARK HECTOR,51.43,-116.33,1639.8
YOHO NAT PARK OTTERTAIL,51.4,-116.55,1158.2
YOHO NP WAPTA LAKE,51.45,-116.33,1645.9
YOHO PARK,51.44,-116.34,1602
GLACIER NP MT FIDELITY,51.24,-117.7,1890
VALEMOUNT SOUTH,52.75,-119.3,930
YOHO NP WEST GATE,51.23,-116.67,1143
YOHO NAT PARK BOULDER CR,51.38,-116.53,1219.2
YOHO NP EMERALD LAKE,51.43,-116.54,1280
YOHO NP OHARA LAKE,51.36,-116.34,2024.6
YOHO NAT PARK LEANCHOIL,51.23,-116.57,1140
ARRAS,55.73,-120.53,676.7
BAKER MINE,57.2,-126.95,1645.9
BALDONNEL,56.23,-120.68,685.8
BEATTON RIVER,57.22,-121.47,807.7
BEATTON RIVER A,57.38,-121.38,839.7
BLACKWATER CREEK,55.53,-123.65,732
BOUNDARY LAKE,56.33,-120.1,711.1
BULLMOOSE,55.23,-121.38,1102
CECIL LAKE CDA,56.33,-120.28,772.7
CHARLIE LAKE,56.3,-121.02,753
CHETWYND A,55.69,-121.63,609.3
CHETWYND A,55.69,-121.63,609.6
CHETWYND BCFS,55.7,-121.62,659.9
CHETWYND SUKUNKA,55.23,-121.65,749.8
CHETWYND A,55.69,-121.63,609.3
DAWSON CREEK,55.75,-120.22,670.6
DAWSON CREEK A,55.74,-120.18,654.7
DAWSON CREEK LWIS,55.74,-120.18,654.7
DAWSON CREEK A,55.74,-120.18,654.7
DAWSON CREEK RADIO BCN,55.78,-120.2,781.2
DENISON PLANT SITE,55,-121.03,854
DENISON SHERIFF,55.07,-121.12,1096.1
FARRELL CREEK,56.18,-121.57,503.8
FINLAY FORKS,56,-123.9,579.1
FINLAY FORKS,55.9,-123.73,762
FORT ST JOHN,56.25,-120.83,673.6
FORT ST JOHN A,56.24,-120.74,694.9
FORT ST. JOHN A,56.24,-120.74,694.9
FORT ST JOHN- HWOS CLIMATE,56.24,-120.74,694.9
FORT ST JOHN PINEVIEW,56.32,-120.82,731.5
GERMANSEN LANDING,55.79,-124.7,766
HUDSON HOPE,56.08,-121.92,489.5
HUDSON HOPE,56.03,-121.9,480
HUDSON HOPE,56.03,-121.91,491
HUDSON HOPE LYNX CREEK,56.12,-121.87,615.7
INGENIKA POINT,56.8,-124.9,679.7
HUDSON HOPE BCHPA DAM,56.02,-122.2,678.2
LAPRISE,57.43,-121.98,781
LONE PRAIRIE,55.57,-121.23,750.1
MACKENZIE A,55.31,-123.14,690.1
MACKENZIE,55.3,-123.13,690.1
MACKENZIE BCFS,55.32,-123.08,721.2
MACKENZIE AIRPORT AUTO,55.31,-123.14,694
MACKENZIE TOWNSITE,55.33,-123.08,762
LONE PRAIRIE SOUTH,55.55,-121.3,854
MCLEOD LAKE,55.03,-123.03,704.1
MESILINKA CAMP,56.12,-124.5,803
MORFEE LAKES MILL SITE,55.3,-123.17,694.9
NORTH PINE CDA EPF,56.43,-120.78,710.2
PINE PASS,55.35,-122.6,944.9
PINK MOUNTAIN,57,-122.37,1204
POUCE COUPE,55.72,-120.13,609.6
POUCE COUPE MTN VIEW,55.77,-120.1,640.1
PRESPATOU,56.92,-121.03,684.9
PROGRESS,55.83,-120.17,701
ROLLA,55.92,-120.07,637
ROLLA GOLATA CREEK,56.13,-120.13,609.6
ROSE PRAIRIE,56.65,-120.77,670.6
PINE PASS MT LEMORAY,55.54,-122.48,679.7
PINK MOUNTAIN 2,57.03,-122.52,1144
SIKANNI CHIEF,57.25,-122.72,937
SIKANNI CHIEF,57.25,-122.72,937
SUMMIT LAKE BCFS,54.28,-122.63,716.3
SWEETWATER,55.87,-120.5,792.5
TAYLOR FLATS,56.17,-120.69,517
TAYLOR 3SE,56.12,-120.63,442.9
TUMBLER RIDGE,55.13,-121.25,824
WARE,57.43,-125.63,777.2
WOLVERINE RIVER,55.07,-121.27,854
WONOWON,56.73,-121.8,914.4
FINLAY FORKS 2,55.98,-123.73,1128
HALFWAY RIVER,56.73,-122.58,670.6
FORT ST JOHN 8NW,56.25,-121.03,808
HUDSON HOPE BRENOT CREEK,56.08,-121.97,690
BUCKINGHORSE RIVER,57.38,-122.87,1097.3
CASSIAR,59.28,-129.83,1077.5
CASSIAR MINE,59.33,-129.82,1853.2
CHURCHILL COPPER ONE,58.45,-125.4,1592.6
COAL RIVER,59.67,-127.15,517
DEASE LAKE,58.43,-130.01,806.6
DEASE LAKE A,58.42,-130.03,802.8
DEASE LAKE LWIS,58.42,-130.03,792.5
FORT NELSON A,58.84,-122.6,381.9
FORT NELSON ALPINE RD,58.82,-122.7,419.1
FT NELSON CHURCHILL MINE,58.48,-125.4,1528.6
FORT NELSON GARDINER CR,58.82,-122.7,419.4
FORT NELSON A,58.84,-122.6,381.9
FORT NELSON,58.84,-122.57,380.2
FORT NELSON UA,58.84,-122.57,378.3
GOOD HOPE LAKE,59.3,-129.28,769.6
LIARD RIVER (AUT),59.45,-126.15,464.2
LOWER POST,59.93,-128.5,583.1
MIDWAY PROJECT,59.93,-130.33,1150
MILE 295 ALASKA HWY,58.78,-122.67,380
MINAKER RIVER,57.85,-123.03,625.3
MILE 306 ALASKA HWY,58.85,-122.87,451.1
MILE 318 ALASKA HWY,58.9,-123.12,520.9
MUNCHO LAKE,58.93,-125.77,836.5
MUNCHO LAKE A,58.93,-125.77,836.5
TETSA RIVER A,58.65,-124.24,810
MILE 351 ALASKA HWY,58.68,-123.72,846.1
MILE 371 ALASKA HWY,58.65,-124.13,758
TETSA RIVER,58.65,-124.24,810
PROPHET RIVER,58.22,-122.78,457.2
SIERRA,58.83,-121.42,566.3
SMITH RIVER A,59.9,-126.43,673
STEAMBOAT,58.68,-123.77,1063.8
SUMMIT LAKE,58.65,-124.65,1280.5
TOAD RIVER,58.85,-125.23,731.5
TOAD RIVER BONANZA CREEK,58.55,-125.48,1428
TRUTCH MILE 200,57.73,-122.95,868.7
TRUTCH MOUNTAIN,57.38,-122.98,1066.8
YOYO,58.88,-121.5,579.1
DEASE LAKE (AUT),58.43,-130.03,800.67
LOWER LIARD BRIDGE,59.42,-126.1,434.6
ATLIN,59.57,-133.7,673.6
BEARSKIN LAKE,58.22,-132.27,958
BENNETT,59.85,-134.98,662
BOB QUINN LAKE 2,56.97,-130.25,609.6
BOB QUINN,56.98,-130.25,579.1
BOB QUINN AGS,56.97,-130.25,610
BRONSON CREEK,56.67,-131.1,107
COLD FISH LAKE,57.67,-128.83,1202.7
EDDONTENAJON,57.83,-129.98,883.9
GALORE CREEK,57.12,-131.45,789.4
GRAHAM INLET,59.6,-134.18,659.9
HAINES APPS NO 2,59.52,-136.47,399.3
HATIN LAKE,58.65,-131.72,944.9
HYLAND POST,57.65,-128.17,1066.8
ISKUT,57.82,-129.97,883.9
ISKUT RANCH,57.87,-130.02,854
KINASKAN LAKE,57.53,-130.2,815.3
KUTCHO CREEK,58.28,-128.5,1240
LINDEMAN CITY,59.78,-135.08,667.5
MCBRIDE RIVER,57.97,-129.27,914.4
MULE CREEK,59.78,-136.6,883.9
NAKONAKE RIVER,59,-133.48,365.8
PLEASANT CAMP,59.45,-136.37,274.3
PORTERS LANDING,58.8,-133.1,731.5
SCHAFT CREEK,57.35,-131,914.4
TELEGRAPH CREEK,57.9,-131.17,182.9
TELEGRAPH CREEK,57.9,-131.33,249.9
TODAGIN RANCH,57.6,-130.07,899
TULSEQUAH,58.7,-133.63,
FRASER CAMP,59.72,-135.05,869
ISKUT RIVER (AUT),56.73,-131.67,15
JOHNNY MOUNTAIN,56.63,-131.08,1075
LOST LAKE,56.72,-131.22,90
WINDY CRAGGY,59.62,-137.72,667
AISHIHIK A,61.65,-137.48,966.2
ANNIE LAKE ROBINSON,60.47,-134.83,820
ANVIL,62.37,-133.38,1158.2
BABBAGE RIVER (AUT),68.82,-138.75,182.9
BEAVER CREEK A,62.41,-140.87,649.5
BEAVER CREEK A,62.41,-140.87,649.5
BEAVER CREEK A,62.41,-140.87,649
BEAVER CREEK YTG,62.37,-140.87,663
BLANCHARD RIVER,60,-136.77,836
BONANZA CREEK,63.97,-139.35,396.2
BOUNDARY,64.23,-140.35,1036.3
BRAEBURN,61.47,-135.78,716.3
BRANDT PEAK,63.05,-140.93,1127.8
BRYN MYRDDIN FARM,60.87,-135.38,686
BURWASH,61.37,-139.03,806.8
BURWASH A,61.37,-139.04,806.2
BURWASH A,61.37,-139.04,805.3
BURWASH A,61.37,-139.05,806.2
BURWASH AIRPORT AUTO BC,61.37,-139.02,807
BURWASH AWOS,61.37,-139.03,805.3
CARCROSS,60.17,-134.7,660
CARMACKS,62.1,-136.3,524.9
CARMACKS CS,62.12,-136.19,542.9
CARMACKS TOWER,62.18,-136.48,1234.4
CASINO CREEK,62.73,-138.83,1100
CASINO MTN,62.73,-138.83,1005
CLINTON CREEK,64.42,-140.67,335.3
CLINTON CREEK,64.47,-140.73,576.1
DAWSON,64.07,-139.33,
DAWSON,64.05,-139.43,320
DAWSON CITY A,64.04,-139.13,370.3
DAWSON A,64.04,-139.13,370.33
DAWSON TOWER,64.07,-139.33,1066.8
DAWSON CITY A,64.04,-139.13,370.3
DEMPSTER 177,65.88,-137.55,722.4
DEMPSTER 179,65.92,-137.52,685.8
DEMPSTER 203,66.12,-137.25,615.7
DESTRUCTION BAY,61.25,-138.78,807.7
DEZADEASH,60.37,-137.05,723.9
DRURY CREEK,62.2,-134.39,609
EAGLE PLAINS,66.37,-136.72,620
EAGLE RIVER,66.45,-136.72,324.6
ELSA,63.92,-135.48,813.8
FARO,62.35,-133.4,1074.4
FARO,62.23,-133.35,694.3
FARO A,62.21,-133.37,716.3
FARO (AUT),62.21,-133.38,716.6
FARO A,62.21,-133.37,716.3
FARO A,62.21,-133.37,716.3
FISH LAKE ROAD,60.72,-135.2,975
FORTY MILE,64.38,-140.6,335.3
FRANCES LAKE,61.33,-129.33,780.3
GOLDEN HORN,60.62,-134.82,701
HAECKEL HILL TOWER,60.75,-135.22,1432.6
HAINES APPS #4,60.82,-137.73,845.8
HAINES JUNCTION,60.77,-137.58,595.3
HAINES JUNCTION YTG,60.75,-137.51,596
HART RIVER,64.65,-136.78,914.4
HERSCHEL ISLAND,69.5,-139.25,4.6
HERSCHEL ISLAND,69.57,-138.91,1.2
HOWARDS PASS,62.47,-129.2,1563.6
HUDSON BAY MINE,63.18,-130.17,1493.5
IRON CREEK,60.02,-127.85,868.7
IVVAVIK NAT. PARK,69.16,-140.15,243.8
JOHNSONS CROSSING,60.48,-133.3,690.4
KENO HILL,63.93,-135.2,1472.8
KING POINT (AUT),69.08,-138.02,61
KLONDIKE,64.45,-138.22,972.6
KLUANE LAKE,61.02,-138.4,786.4
KOMAKUK BEACH,69.61,-140.2,13.2
KOMAKUK BEACH A,69.58,-140.18,7.3
LITTLE GOLD CREEK,64.08,-141,1257.3
MACMILLAN PASS,63.24,-130.04,1379
MACMILLAN PASS,63.17,-130.2,1408.8
MACTUNG,63.28,-130.18,1889.8
MARGARET LAKE,68.8,-140.85,568
MARSH LAKE,60.43,-134.25,655
MACPASS AIRSTRIP,63.18,-130.18,1219.2
MAYO A,63.62,-135.87,503.8
MAYO A,63.62,-135.87,503.8
MAYO A,63.62,-135.87,503.8
MAYO ROAD,60.88,-135.18,655
MCQUESTEN,63.59,-137.52,458.2
MCQUESTEN,63.55,-137.4,426.7
MINTO,62.63,-137.25,914.4
MOOSE CREEK,63.52,-137.02,460.2
MORLEY RIVER,60.02,-132.17,823
MOUNTAIN VIEW LODGE,61.63,-139.67,845.8
NEW IMPERIAL,60.63,-135.08,800.1
OGILVIE RIVER,65.36,-138.31,597.4
OLD CROW A,67.57,-139.84,250.24
OLD CROW A,67.57,-139.84,250.2
OLD CROW RCS,67.57,-139.84,251.2
OLD CROW A,67.57,-139.84,250.2
OTTER FALLS NCPC,61.03,-137.05,829.7
PAINT MOUNTAIN TOWER,60.83,-137.5,1386.8
PARKIN,66.23,-137.28,533.4
PELLY RANCH,62.83,-137.31,445
PORTER CREEK WAHL,60.77,-135.12,713
QUIET LAKE,61.15,-133.07,820
QUILL CREEK,61.45,-139.25,831
RAMPART HOUSE,0,0,0
RANCHERIA,60.08,-130.6,865.6
ROCK RIVER,66.98,-136.22,731
ROSS RIVER A,61.97,-132.43,705.3
ROSS RIVER YTG,61.98,-132.45,698
RUSSELL CREEK,63.03,-133.38,686
SAM LAKE,68.42,-138.62,457.2
SATAH RIVER,66.87,-134.2,86
SHELDON LAKE,62.62,-131.28,883.9
SHINGLE POINT A,68.95,-137.22,49.4
SIMPSON TOWER,61.4,-129.47,1676.4
HOUR LAKE,61.18,-129.13,890
KETZA RIVER MINE,61.52,-132.27,1380
MACPHERSON,60.82,-135.22,686.1
DAWSON,64.06,-139.13,370
MIDWAY LODGE,62.53,-136.75,610
SNAG A,62.37,-140.4,586.7
STEWART CROSSING,63.38,-136.68,480.1
STEWART CROSSING TOWER,63.42,-136.68,1249.7
STEWART RIVER,63.32,-139.43,358.1
STOKES POINT,69.35,-138.77,34.7
SUNNYDALE,64.05,-139.47,335
SWEDE CREEK,64.1,-139.75,320
SWIFT RIVER,60,-131.18,891.2
TAGISH,60.3,-134.27,658.4
TAGISH TOWER,60.27,-134.18,1219.2
TAKHINI RIVER RANCH,60.95,-135.57,671
TESLIN,60.17,-132.75,705
TESLIN A,60.17,-132.74,705
TESLIN A,60.17,-132.74,705
TESLIN (AUT),60.17,-132.73,705
TESLIN A,60.17,-132.74,705
TOM CREEK TOWER,60.28,-128.98,944.9
TRANSPORT TOWER,60.17,-130,1432.6
TUCHITUA,60.93,-129.22,723.9
TWO PETE CREEK,62.63,-133.7,960.1
WATSON LAKE A,60.12,-128.82,687.35
WATSON LAKE A,60.12,-128.82,687.3
WATSON LAKE A,60.12,-128.82,687.3
WATSON LAKE (AUT),60.12,-128.83,683.3
WATSON LAKE YTG,60.07,-128.72,701
WHITEHORSE,60.72,-135.05,636.1
WHITEHORSE A,60.71,-135.07,706.2
WHITEHORSE A,60.71,-135.07,706.2
WHITEHORSE AUTO,60.73,-135.1,707
WHITEHORSE RIVERDALE,60.71,-135.03,640.08
WHITEHORSE WSO,60.73,-135.08,706.9
WOLF CREEK,60.58,-134.95,746.8
WOLF CREEK,60.5,-134.95,762
AKLAVIK A,68.22,-135.01,6.4
AKLAVIK A,68.22,-135.01,6.4
AKLAVIK A,68.22,-135.01,6.4
AKLAVIK RADIOSONDE,68.23,-135,9.1
ANGUS TOWER,60.35,-114.28,246.9
ARCTIC RED RIVER,67.45,-133.73,30.5
ATKINSON POINT,69.93,-131.4,3
BEAR TOWER,60.52,-113.23,213.4
CADILLAC MINE,61.53,-124.75,868.1
CAMERON HILLS,60.3,-117.05,841.2
CAMSELL RIVER (AUT),65.62,-118.12,230.4
CAPE BATHURST,70.55,-127.95,17
CAPE PARRY A,70.17,-124.72,86.6
CLIFTON POINT,69.2,-118.63,32.6
CLUT LAKE (AUT),65.6,-117.77,185
COLOMAC MINE,64.42,-115.1,327.1
COLVILLE LAKE,67.02,-126.12,271
COLVILLE LAKE A,67.02,-126.13,274
DELINE A,65.21,-123.44,214.3
DELINE CS,65.21,-123.43,212.8
DELINE A,65.21,-123.44,214.3
DEADMEN VALLEY,61.26,-124.47,283
DELINE A,65.21,-123.44,214.27
FLAT RIVER,61.97,-128.2,1115.6
FORT FRANKLIN,65.18,-123.43,159.4
FORT GOOD HOPE A,66.24,-128.65,81.38
FORT GOOD HOPE A,66.24,-128.65,81.4
FORT GOOD HOPE A,66.24,-128.65,81.4
FORT GOOD HOPE CS,66.24,-128.64,81.7
FORT GOOD HOPE 2,66.25,-128.63,41.8
FORT LIARD A,60.24,-123.47,215.8
FORT LIARD A,60.24,-123.47,215.8
FORT LIARD,60.23,-123.47,213.4
FORT LIARD A,60.24,-123.47,215.8
FORT MCPHERSON A,67.41,-134.86,35.4
FORT MCPHERSON,67.43,-134.88,30.5
FORT MCPHERSON A,67.41,-134.86,35.4
FORT MCPHERSON NWLFS,69.45,-134.83,30.5
FORT MCPHERSON A,67.41,-134.86,35.4
TULITA A,64.91,-125.57,100.3
TULITA A,64.91,-125.57,100.3
TULITA A,64.91,-125.57,100.3
FORT PROVIDENCE,61.32,-117.6,161.5
FORT PROVIDENCE,61.33,-117.67,159.4
FORT RELIANCE,62.72,-109.17,165.8
FORT RELIANCE (AUT),62.71,-109.17,167.6
FORT RESOLUTION,61.17,-113.67,158.5
FORT RESOLUTION A,61.18,-113.69,160.3
FORT RESOLUTION A,61.18,-113.69,160.6
FORT RESOLUTION A,61.18,-113.69,160.6
FORT SIMPSON,61.87,-121.35,131.7
FORT SIMPSON A,61.76,-121.24,169.2
FORT SIMPSON CLIMATE,61.76,-121.24,168
FORT SIMPSON A,61.76,-121.24,169.5
FORT SIMPSON A,61.76,-121.24,169.5
FORT SIMPSON CDA,61.87,-121.35,131.1
FORT SIMPSON,61.76,-121.24,169.2
FORT SMITH,60,-111.93,182.9
FORT SMITH,60,-111.87,207.3
FORT SMITH A,60.02,-111.96,205.13
FORT SMITH A,60.02,-111.96,205.1
FORT SMITH CLIMATE,60.03,-111.93,203
FORT SMITH A,60.02,-111.96,205.1
FRANK CHANNEL,62.78,-115.95,160
HALDANE RIVER,67.07,-121.1,242.5
HANBURY RIVER,63.6,-105.13,317.4
HART LAKE,60.85,-116.63,252.4
HAY RIVER,60.85,-115.95,161.2
HAY RIVER A,60.84,-115.78,164.9
HAY RIVER A,60.84,-115.78,164.9
HAY RIVER CLIMATE,60.84,-115.78,164
HAY RIVER A,60.84,-115.78,164.9
HAY RIVER PARADISE GDNS,60.65,-116,213.4
HORN PLATEAU,62.13,-118.12,746.8
HORN RIVER,61.5,-118.03,152.4
HORTON RIVER,70.03,-126.96,164.2
INDIN RIVER,64.39,-115.02,304.7
INNER WHALEBACKS,61.92,-113.73,165.2
INUVIK CR10,68.3,-133.48,68
INUVIK A,68.3,-133.48,67.7
INUVIK A,68.3,-133.48,67.7
INUVIK AWOS A,68.3,-133.48,67.67
INUVIK CLIMATE,68.32,-133.52,103
INUVIK CDA,68.3,-133.48,67.1
INUVIK UA,68.32,-133.52,103.2
JEAN MARIE,61.35,-120.78,227.27
KEATS POINT,69.67,-121.67,330.2
LAC LA MARTRE,63.13,-117.24,271.3
LIARD TOWER,60.3,-123.52,827.5
LUTSELK'E A,62.42,-110.68,178.6
LUTSELK'E A,62.42,-110.68,178.6
LYNX LAKE,62.47,-106.88,1183
NAHANNI BUTTE,61.08,-123.38,1371.6
NAHANNI VALLEY,61.05,-123.37,213.4
NICHOLSON PENINSULA,69.93,-128.97,88.7
NICHOLSON PENINSULA 1,69.92,-128.97,90.7
NORMAN WELLS A,65.28,-126.8,72.54
NORMAN WELLS A,65.28,-126.8,72.5
NORMAN WELLS SITE 1,65.28,-126.83,57.9
NORMAN WELLS SITE 2,65.28,-126.83,63.4
NORMAN WELLS SITE 3,65.27,-126.7,61
NORMAN WELLS SITE 4,65.27,-126.7,61
NORMAN WELLS CLIMATE,65.29,-126.75,93.6
PAULATUK A,69.36,-124.08,4.6
PAULATUK A,69.36,-124.08,4.6
PAULATUK A,69.36,-124.08,4.57
PAULATUK,69.36,-124.08,6.3
PEARCE POINT,69.82,-122.7,48.8
PELLY ISLAND,69.63,-135.44,17
PINE POINT,60.83,-114.47,237.7
PINE POINT,60.87,-114.37,224
PORTER LAKE,61.7,-108,364.8
PORT RADIUM,66.08,-118.03,191.4
PORT RADIUM (AUT),66.08,-117.93,438
POWDER LAKE,61.97,-108.62,485
QAVVIK LAKE,68.25,-122.1,548
RABBIT KETTLE,61.96,-127.21,618
RAE LAKES,64.11,-117.33,221
RAE LAKES,64.12,-117.35,213.4
GAMETI AIRPORT,64.12,-117.31,220.4
GAMETI A,64.12,-117.31,220.7
GAMETI A,64.12,-117.31,220.7
RAMPART RIVER,65.95,-130.47,154.5
ST CHARLES CREEK,64.78,-124.22,341
SANS SAULT RAPIDS,65.67,-128.82,63.4
SNARE RAPIDS,63.52,-116,241
SNOWDRIFT,62.4,-110.73,176.8
TSICHU RIVER,63.3,-129.82,1264.9
TSU LAKE,60.68,-111.87,213.4
TUKTOYAKTUK,69.47,-132.98,
TUKTOYAKTUK,69.45,-133,18.3
TUKTOYAKTUK A,69.43,-133.03,4.3
TUKTOYAKTUK A,69.43,-133.03,4.27
TUKTOYAKTUK A,69.43,-133.03,4.3
TUKTOYAKTUK,69.43,-133.02,4.6
TUKTUT NOGAIT,69.2,-122.36,551.6
TUNDRA MINE,64.03,-111.17,470.9
TUNGSTEN,61.95,-128.25,1143
TUNUNUK,69.02,-134.68,48.8
TWIN GORGES,60.25,-111.8,237.7
VIRGINIA FALLS,61.63,-125.8,609.6
WEKWEETI A,64.19,-114.08,368.2
WRIGLEY A,63.21,-123.44,149.7
WRIGLEY A,63.21,-123.44,149.7
WRIGLEY A,63.21,-123.44,149.7
YELLOWKNIFE A,62.46,-114.44,205.7
YELLOWKNIFE A,62.46,-114.44,205.7
YELLOWKNIFE-HENDERSON,62.45,-114.38,200
YELLOWKNIFE CS,62.47,-114.45,210
YELLOWKNIFE HYDRO,62.67,-114.25,159.4
YOHIN,61.24,-123.74,204
LIVERPOOL BAY,69.6,-130.91,101.9
LITTLE CHICAGO,67.18,-130.23,62.5
LITTLE DOCTOR LAKE,61.9,-123.25,215.8
TUKTOYAKTUK 1,69.44,-133,17.3
TROUT LAKE,60.44,-121.24,498
MARIAN LAKE TOWER,63.07,-116.88,294.7
GREAT SLAVE LAKE BUOY,61.18,-115.32,156.3
LUTSELK'E A,62.42,-110.68,178.6
LUTSELK'E CS,62.42,-110.69,178.9
GRAY LAKE,61.92,-108.43,451.1
STORM HILLS,68.91,-133.94,261.4
EKATI A,64.7,-110.61,468.2
LINDBURG LANDING,61.13,-122.85,183
LOWER CARP LAKE,63.6,-113.86,373.4
TRAIL VALLEY,68.75,-133.5,85
ARVIAT AWOS,61.1,-94.07,10.4
ARVIAT A,61.09,-94.07,10.4
ARVIAT A,61.09,-94.07,10.4
BAKER LAKE A,64.3,-96.08,18.6
BAKER LAKE CLIMATE,64.32,-96,50.8
BAKER LAKE A,64.3,-96.08,18.6
BAKER LAKE A,64.3,-96.08,18.6
BATHURST INLET,66.83,-108.02,13.4
BATHURST INLET,66.84,-108.01,5
BERNARD HARBOUR,68.78,-114.83,64.6
CAPE PEEL,69.05,-107.32,58.5
CHESTERFIELD,63.33,-90.72,6.4
CHESTERFIELD INLET A,63.35,-90.73,9.8
CHESTERFIELD INLET,63.75,-91.83,14.6
CHESTERFIELD INLET A,63.35,-90.73,9.8
CHESTERFIELD INLET A,63.35,-90.73,9.8
CLINTON POINT,69.58,-120.8,100.6
CONTWOYTO LAKE,65.48,-110.37,451.4
COPPERMINE,67.83,-115.12,9.1
KUGLUKTUK A,67.82,-115.14,22.6
KUGLUKTUK A,67.82,-115.14,22.6
